IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.80.98,443,443,true,FRA,Europe,Frankfurt,409,8.59
158.178.152.184,443,443,true,FRA,Europe,Frankfurt,421,8.56
143.47.227.85,443,443,true,FRA,Europe,Frankfurt,293,8.56
141.147.31.67,443,443,true,FRA,Europe,Frankfurt,274,8.50
143.47.224.26,443,443,true,FRA,Europe,Frankfurt,412,8.49
141.147.82.48,443,443,true,FRA,Europe,Frankfurt,338,8.46
141.145.205.115,8443,8443,true,CDG,Europe,Paris,299,8.44
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,222,8.42
129.146.240.62,443,443,true,LAX,North America,Los Angeles,311,8.36
193.122.12.224,443,443,true,FRA,Europe,Frankfurt,305,8.33
141.147.55.141,443,443,true,FRA,Europe,Frankfurt,375,8.30
84.235.173.103,443,443,true,FRA,Europe,Frankfurt,312,8.25
141.147.115.241,443,443,true,FRA,Europe,Frankfurt,297,8.24
141.148.235.26,443,443,true,FRA,Europe,Frankfurt,279,8.23
130.162.174.34,443,443,true,FRA,Europe,Frankfurt,292,8.19
141.147.38.176,443,443,true,FRA,Europe,Frankfurt,305,8.18
144.24.174.4,443,443,true,FRA,Europe,Frankfurt,231,8.17
79.72.75.116,443,443,true,FRA,Europe,Frankfurt,273,8.16
158.180.36.248,443,443,true,FRA,Europe,Frankfurt,245,8.13
152.70.50.190,443,443,true,FRA,Europe,Frankfurt,328,8.12
193.123.61.243,443,443,true,FRA,Europe,Frankfurt,299,8.10
84.235.172.71,443,443,true,FRA,Europe,Frankfurt,354,8.09
141.147.112.157,443,443,true,FRA,Europe,Frankfurt,322,8.08
129.146.133.33,443,443,true,LAX,North America,Los Angeles,369,8.06
143.47.179.27,443,443,true,FRA,Europe,Frankfurt,261,8.03
84.235.168.178,443,443,true,FRA,Europe,Frankfurt,317,8.03
158.180.20.16,443,443,true,FRA,Europe,Frankfurt,425,8.00
192.9.137.193,8443,443,true,SJC,North America,San Jose,344,7.98
143.47.244.19,443,443,true,FRA,Europe,Frankfurt,293,7.94
152.70.162.30,443,443,true,FRA,Europe,Frankfurt,207,7.93
158.180.18.25,443,443,true,FRA,Europe,Frankfurt,407,7.92
143.47.184.59,443,443,true,FRA,Europe,Frankfurt,308,7.91
138.2.168.0,443,443,true,FRA,Europe,Frankfurt,269,7.87
130.162.166.207,443,443,true,FRA,Europe,Frankfurt,415,7.86
141.147.29.10,443,443,true,FRA,Europe,Frankfurt,314,7.86
129.159.241.250,443,443,true,FRA,Europe,Frankfurt,355,7.85
140.238.126.27,443,443,true,FRA,Europe,Frankfurt,307,7.82
152.67.142.207,443,443,true,FRA,Europe,Frankfurt,399,7.82
84.235.171.189,443,443,true,FRA,Europe,Frankfurt,227,7.81
89.168.85.172,2096,443,true,FRA,Europe,Frankfurt,269,7.81
141.148.245.157,443,443,true,FRA,Europe,Frankfurt,230,7.80
141.147.35.181,443,443,true,FRA,Europe,Frankfurt,357,7.79
130.162.187.241,443,443,true,FRA,Europe,Frankfurt,331,7.74
158.178.148.121,443,443,true,FRA,Europe,Frankfurt,380,7.73
141.144.202.88,443,443,true,FRA,Europe,Frankfurt,339,7.71
144.21.54.80,443,443,true,FRA,Europe,Frankfurt,322,7.70
158.101.217.96,443,443,true,FRA,Europe,Frankfurt,300,7.69
130.162.254.19,443,443,true,FRA,Europe,Frankfurt,360,7.68
